animeTitle	Accelerando: Datenshi-tachi no Sasayaki
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.84
animeUsers	4911
animeRank	
animePopularity	4882
animeDescription	"Waitress Tamaki has sex with her playmate Kurono at the café she works for. Ignorant of their relationship, their common friend, Ohashi, visits the café as usual to see Tamaki whom he secretly loves. However, Kurono notices Ohashi's feelings. In order to incite him into confessing his feelings to her, Kurono molests Tamaki and makes her wait on him as she is. As she was sexually excited, she gives off a female's scent, which, in turn, excites Ohashi. Meanwhile, Tomoe, a friend of Kurono's appears... Will Ohashi be able to confess his love to Tamaki?

(Source: AnimeNfo)"
animeRelated	['Accelerando', 'Stringendo+Accelerando Ultimatum Sera', 'Stretta The Animation']
animeCharacters	['Tamaki', 'Tomoe', 'Kanue']
animeVoices	[]
animeStaff	[['Araki, Hideki', 'Director, Storyboard, Animation Director, Character Design'], ['Sawayama, Shinichiro', 'Script, Screenplay'], ['Seto, Yuuki', 'Original Creator'], ['Miyamae, Mitsuharu', 'Art Director']]
