animeTitle	Nintama Rantarou: Saraba Ninjutsu Gakuen no Dan
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15391
animeDescription	Rantarou misunderstands an overheard comment from the Headmaster and leaves Ninjutsu Academy in shock. At the same time, the Dokutake Castle ninja team is once again up to no good...
animeRelated	['Nintama Rantarou']
animeCharacters	['Settsuno, Kirimaru', 'Fukutomi, Shinbei', 'Inadera, Rantarou', 'Zenpouji, Isaku', 'Doi, Hansuke', 'Nakazaike, Chouji', 'Ohama, Kanemon', 'HemuHemu', 'Yamamura, Kisanta', 'Hachiya, Saburou']
animeVoices	['Tanaka, Mayumi', 'Ichiryuusai, Teiyuu', 'Takayama, Minami', 'Okiayu, Ryoutarou', 'Seki, Toshihiko', 'Shibuya, Shigeru', 'Shimada, Bin', 'Oowada, Hitomi', 'Yamazaki, Takumi']
animeStaff	[['Urasawa, Yoshio', 'Screenplay'], ['Amako, Soubee', 'Original Creator']]
