animeTitle	Golden Kamuy 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.22
animeUsers	76272
animeRank	
animePopularity	1225
animeDescription	"In Hokkaido, it is rumored that there is a stash of hidden gold. This gold was supposedly stolen by a man who killed the original Ainu owners; and before being captured and imprisoned by the police, he hid it in a secret location. In order to relay the gold's location to his comrades on the outside, he tattooed the map on the bodies of his cellmates and promised them a share of the gold—provided they managed to escape and find it.

In Golden Kamuy 2nd Season, First Lieutenant Tokushirou Tsurumi plans to give the 7th Division an advantage in the war for the tattoos by getting a taxidermist to create skins that only he can distinguish as fake. Meanwhile, Saichi ""The Immortal"" Sugimoto, Asirpa, and their companions continue their hunt for the skins by following a strange rumor: a thief who broke into a home in Yubari found taxidermied human corpses, among which was a torso with strange tattoos.

[Written by MAL Rewrite]"
animeRelated	['Golden Kamuy', 'Golden Douga Gekijou', 'Golden Kamuy 2nd Season OVA', 'Golden Kamuy 3rd Season']
animeCharacters	['Sugimoto, Saichi', 'Asirpa', 'Shiraishi, Yoshitake', 'Ogata, Hyakunosuke', 'Tsurumi, Tokushirou', 'Tanigaki, Genjirou', 'Koito, Otonoshin', 'Hijikata, Toshizou', 'Tsukishima, Hajime', 'Ushiyama, Tatsuma']
animeVoices	['Kobayashi, Chikahiro', 'Shiraishi, Haruka', 'Itou, Kentarou', 'Tsuda, Kenjirou', 'Ootsuka, Houchuu', 'Hosoya, Yoshimasa', 'Konishi, Katsuyuki', 'Nakata, Jouji', 'Takemoto, Eiji', 'Nomura, Kenji']
animeStaff	[['Nanba, Hitoshi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Suzuki, Takuo', 'Episode Director'], ['Higashide, Futoshi', 'Episode Director, Storyboard, Key Animation, Animation Director']]
