animeTitle	Akame ga Kill!
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.48
animeUsers	1047663
animeRank	
animePopularity	27
animeDescription	"Night Raid is the covert assassination branch of the Revolutionary Army, an uprising assembled to overthrow Prime Minister Honest, whose avarice and greed for power has led him to take advantage of the child emperor's inexperience. Without a strong and benevolent leader, the rest of the nation is left to drown in poverty, strife, and ruin. Though the Night Raid members are all experienced killers, they understand that taking lives is far from commendable and that they will likely face retribution as they mercilessly eliminate anyone who stands in the revolution's way.

This merry band of assassins' newest member is Tatsumi, a naïve boy from a remote village who had embarked on a journey to help his impoverished hometown and was won over by not only Night Raid's ideals, but also their resolve. Akame ga Kill! follows Tatsumi as he fights the Empire and comes face-to-face with powerful weapons, enemy assassins, challenges to his own morals and values, and ultimately, what it truly means to be an assassin with a cause.

[Written by MAL Rewrite]"
animeRelated	['Akame ga Kill!', 'AkaKill! Gekijou', 'Akame ga Kill! Recap']
animeCharacters	['Akame', 'Mine', 'Tatsumi', 'Leone', 'Esdeath', 'Lubbock', 'Chelsea', 'Bulat', 'Sheele', 'Kurome']
animeVoices	['Amamiya, Sora', 'Tamura, Yukari', 'Saitou, Souma', 'Asakawa, Yuu', 'Akesaka, Satomi', 'Matsuoka, Yoshitsugu', 'Nazuka, Kaori', 'Konishi, Katsuyuki', 'Noto, Mamiko', 'Ohashi, Ayaka']
animeStaff	[['Miyake, Masanori', 'Producer'], ['Kobayashi, Tomoki', 'Director'], ['Gouda, Hozumi', 'Sound Director'], ['Okamoto, Manabu', 'Episode Director, Storyboard']]
