animeTitle	Elf Hime Nina
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	1934
animeRank	
animePopularity	6754
animeDescription	"Kyle, the protagonist of this story, is one of the 7 heroes who defeated the evil overlord. After that battle he starts a conquest of the continent in order to unite the humans who live on it.

Standing against Kyle is only his younger brother Syll, who is also one of the seven heroes. Kyle stole his throne, but failed to kill him.

One day, another of the 7 heroes appears before Kyle. She is Nina, an elven princess. Kyle knows that Nina and Syll are lovers, and a dark desire begins to burn inside of him..."
animeRelated	[]
animeCharacters	['Nina', 'Melissa', 'Miria']
animeVoices	['Himuro, Yuri']
animeStaff	[['Koike, Ahiru', 'Director'], ['Yoshida, Tomohiro', 'Sound Director'], ['Tominaga, Tsuneo', 'Episode Director, Storyboard'], ['Yakushi, Ruri', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition']]
