animeTitle	Cyclops Shoujo Saipuu
animeType	ONA
animeNumEpisode	12
releaseDate	2013-03-12 00:00:00
endDate	2013-05-30 00:00:00
animeNumMembers	
animeScore	5.78
animeUsers	17038
animeRank	
animePopularity	2872
animeDescription	"When Fuuka hit her second year of middle school, puberty kicked in. Now she's really tall and has huge boobs. Due to her hairstyle, her classmates call her ""Saipu"", after the cyclops. Her affection for her older brother was cute when she was a little girl and said she wanted to marry him. Now it just freaks him out, since she's decided she's adult enough to follow through on her childish promises.

(Source: MU)"
animeRelated	['Cyclops Shoujo Saipuu']
animeCharacters	['Saitou, Fuuka', 'Saitou, Hikaru', 'Natsu', 'Fujisaki, Rin']
animeVoices	['Nakahara, Mai', 'Takanashi, Kengo', 'Sasajima, Kaoru', 'Fujita, Saki']
animeStaff	[['Tora, Yasu', 'Original Creator']]
