animeTitle	Little Charo
animeType	TV
animeNumEpisode	50
releaseDate	2008-04-02 00:00:00
endDate	2009-03-25 00:00:00
animeNumMembers	454
animeScore	
animeUsers	
animeRank	17065
animePopularity	13208
animeDescription	NHK's English education program featured the adventures of a puppy named Charo in New York.
animeRelated	['Little Charo 2', 'Little Charo: Touhoku-hen', 'Little Charo 4: Eigo de Aruku New York']
animeCharacters	['Charo']
animeVoices	[]
animeStaff	[['MONKEY MAJIK', 'Theme Song Performance']]
