animeTitle	Meisou-Ou Border
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.55
animeUsers	240
animeRank	
animePopularity	12096
animeDescription	"Featuring a modern-day odd couple, the naive virgin Kubota and the handsome charmer Hachisuka, who meet up by accident in a Middle Eastern desert and return to Japan to hustle their way through life. They start by getting involved in shady TV dealings, where they get jobs making fake docmentaries.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	['Hachisuka', 'Kubota', 'Hosoki', 'Baba', 'Tomeko', 'Kimura', 'Hiroko', 'Hirokawa', 'Kurokawa', 'Naomi']
animeVoices	['Yara, Yuusaku', 'Horiuchi, Kenyuu', 'Kitagawa, Takurou', 'Yamamoto, Keiko', 'Kataoka, Tomie', 'Machi, Yuuji', 'Yoshida, Miho', 'Masuoka, Hiroshi', 'Aomori, Shin', 'Suzuka, Chiharu']
animeStaff	[['Tanaka, Akio', 'Original Character Design'], ['Caribu, Marley', 'Original Creator'], ['Akashi, Teiichi', 'Art Director'], ['Kaneko, Shuuichi', 'Animation Check, Key Animation']]
