animeTitle	b'Ikusa Otome Valkyrie 2'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	1621
animeRank	
animePopularity	
animeDescription	b'Leia is a valkyrie. She is captured by Duke, a boss of a monster group, and just when she is about to get executed, Aaliyah, an another valkyrie, appears and beats up all monsters. She tells Duke to free Leia and he does so. But Leia suddenly robs Aaliyah of a silver ring, which gives Aaliyah power, and runs to Duke.... Aaliyah loses her power and finally gets captured.... Like this, Leia and Aaliyah become their sex slaves....\n\n(Source: ErogeShop edit)'
animeRelated	[b'Battle Maiden Valkyrie 2', b'Ikusa Otome Valkyrie 2', b'Ikusa Otome Valkyrie', b'Ikusa Otome Valkyrie G']
animeCharacters	[b'Leia', b'Aliya', b'Duke', b'Hildegard', b'Freya']
animeVoices	[b'\nHonma, Yukari\nJapanese\n', b'\nTanaka, Ryouko\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nKobayashi, Maki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTatsumi\n\nDirector, Storyboard, Chief Animation Director, Character Design\n\n', b'\nSawayama, Shinichiro\n\nScript, Screenplay\n\n', b'\nLune\n\nOriginal Creator\n\n', b'\nTamaru, Makoto\n\nOriginal Character Design\n\n']
