animeTitle	Double-J
animeType	TV
animeNumEpisode	11
releaseDate	2011-06-29 00:00:00
endDate	2011-09-14 00:00:00
animeNumMembers	11189
animeScore	5.49
animeUsers	4658
animeRank	10411
animePopularity	5073
animeDescription	"In a school where after school activities are mandatory among all students, Hajime and her friend Sayo come across a new club that they have never seen before. The club is called ""The Cultural Activity Preservation Club."" The two enter the room to find all kinds of analog jobs and activities, such as handcrafting mats and toothpicks. This is a unique cultural anime mixed with comedy so as not to bore you, this is Double J!

(Source: Mangahelpers, edited)"
animeRelated	['Double-J']
animeCharacters	['Sassa, Maria', 'Arima, Sayo', 'Chousokabe, Aya', 'Usami, Hajime', 'Souma', 'Toba, Yutaka', 'Usami, Mother', 'Houjou, Ema', 'Shima', 'Uguisu jou']
animeVoices	['Omigawa, Chiaki', 'Katou, Emiri', 'Satou, Kanami', 'Ohashi, Ayuru', 'Gotou, Hiroki', 'Ishihara, Kaori', 'Matsuki, Miyu', 'Taketatsu, Ayana', 'Hirohashi, Ryou']
animeStaff	[['Tani, Azuma', 'Director'], ['Hyadain', 'Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement'], ['Momoiro Clover Z', 'Theme Song Performance'], ['Rapparu', 'Key Animation']]
