animeTitle	Kaito x Ansa
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.04
animeUsers	229
animeRank	
animePopularity	7816
animeDescription	Second season of Nazotokine.
animeRelated	['Nazotokine']
animeCharacters	['Aen, Kaito', 'Arishin, Ansa', 'Amino, Tokine', 'Takaragawa, Hinata', 'Hacchin', 'Narration', 'Q Buster Head', 'Pukupuku', 'Kuromu, Yuu', 'Tenten']
animeVoices	['Kato, Kazuki', 'Sakurai, Takahiro', 'Hara, Natsuko', 'Nitta, Emi', 'Tokui, Sora', 'Cho', 'Shimono, Hiro', 'Suwabe, Junichi', 'Ono, Daisuke']
animeStaff	[['Fukushi, Naoya', 'Director, Script, Original Creator'], ['256', 'Theme Song Performance']]
