animeTitle	Tasogare Otome x Amnesia
animeType	TV
animeNumEpisode	12
releaseDate	2012-04-09 00:00:00
endDate	2012-06-25 00:00:00
animeNumMembers	
animeScore	7.84
animeUsers	158904
animeRank	
animePopularity	484
animeDescription	"Seikyou Private Academy, built on the intrigue of traditional occult myths, bears a dark past—for 60 years, it has been haunted by a ghost known as Yuuko, a young woman who mysteriously died in the basement of the old school building. With no memory of her life or death, Yuuko discreetly finds and heads the Paranormal Investigations Club in search of answers.

A chance meeting leads Yuuko to cling to diligent freshman Teiichi Niiya, who can see the quirky ghost, they quickly grow close, and he decides to help her. Along with Kirie Kanoe, Yuuko's relative, and the oblivious second year Momoe Okonogi, they delve deep into the infamous Seven Mysteries of the storied school.

Tasogare Otome x Amnesia tells a unique tale of students who work together to shed light on their school's paranormal happenings, all the while inching closer to the truth behind Yuuko's death.

[Written by MAL Rewrite]"
animeRelated	['Tasogare Otome x Amnesia', 'Tasogare Otome x Amnesia: Taima Otome']
animeCharacters	['Kanoe, Yuuko', 'Niiya, Teiichi', 'Kanoe, Kirie', 'Okonogi, Momoe', 'Kanoe, Yukariko', 'Kirishima, Yuuko', 'Sonchou', 'Female Teacher', 'Waitress', 'Kawatou, Manako']
animeVoices	['Hara, Yumi', 'Yonaga, Tsubasa', 'Kitamura, Eri', 'Fukuen, Misato', 'Takashima, Gara', 'Koshimizu, Ami', 'Naka, Hiroshi', 'Shiraishi, Youko', 'Suzuki, Konomi', 'Ogasawara, Saki']
animeStaff	[['Oonuma, Shin', 'Director'], ['Sakamoto, Takashi', 'Director, Episode Director, Storyboard'], ['Kameyama, Toshiki', 'Sound Director'], ['Jinbo, Masato', 'Episode Director']]
