animeTitle	Transformers: Car Robots
animeType	TV
animeNumEpisode	39
releaseDate	2000-04-05 00:00:00
endDate	2000-12-27 00:00:00
animeNumMembers	4304
animeScore	6.54
animeUsers	2134
animeRank	5950
animePopularity	7441
animeDescription	"The evil Gigatron has led his forces of Destrongers to Earth, where they seek to pillage the planet for its vast energy resources in order to fuel their war against the Autobots. If successful, the Destrongers will finally be able to tip the scale of power in the war to their favor, eliminating the Autobots and moving on to conquer the universe. To this end, the Destrongers kidnap the scientist Dr. Ohnishi, Earth's leading scientist on energy and natural resources.

Dr. Oonishi's son, Koji, is contacted by none other than Fire Convoy, who takes the boy on a mission to rescue his father. Although Fire Convoy and the other Autobots fight valiantly, they are unable to rescue the doctor from the Destrongers. Now it is up to the Autobots and Koji to rescue Dr. Oonishi and protect the Earth and its resources from Gigatron and his army."
animeRelated	['Transformers: The☆Headmasters']
animeCharacters	['Sky-Byte', 'X-Brawn', 'Ultra Magnus', 'Fire Convoy', 'Speedbreaker', 'Gigatron', 'Oonishi, Yuuki', 'Brave Maximus', 'Black Convoy', 'Grimlock']
animeVoices	['KONTA', 'Shibahara, Masahiro', 'Matsuyama, Takashi', 'Hashimoto, Satoshi', 'Kobiyama, Youichi', 'Kimura, Akiko', 'Kusunoki, Taiten', 'Takahashi, Hiroki']
animeStaff	[['Sekita, Osamu', 'Director, Storyboard'], ['Takahashi, Hideo', 'Sound Director'], ['Epcar, Richard', 'Script'], ['Kramer, Steve', 'Script']]
