animeTitle	b'Hito Toki Kiryu Ashikaga'
animeType	b'ONA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A Kiryu & Ashikaga heritage tourism promotion anime. Kiryu is located in the Gunma prefecture, Ashikaga is located in the Tochigi prefecture. The two cities are side-by-side (only a 30 minute car ride away) and share similar heritages. Each episode focuses on 1 season about the people (hito) and time (toki) of Kiryu and Ashikaga.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
