animeTitle	Bean Bandit
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	7872
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Gunsmith Cats', 'Riding Bean']
animeCharacters	['Vincent, Irene', 'Bandit, Bean', 'Hopkins, May', 'Farrah, Becky']
animeVoices	['Asai, Ayaka', 'Takahashi, Hidenori', 'Igarashi, Hiromi', 'Kitamura, Eri']
animeStaff	[['Sonoda, Kenichi', 'Director, Script, Chief Animation Director, Original Creator, Planning'], ['Aoki, Yuu', 'Director'], ['Hirasawa, Hisayoshi', 'Sound Director'], ['Shimizu, Keizou', 'Character Design']]
