animeTitle	Urusei Yatsura: Haru da, Tobidase!
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	1507
animeRank	
animePopularity	7771
animeDescription	"Broadcast between episodes 21 and 22, the Spring special was a 1-hr show with 2 parts. The first part, ""Urusei Yatsura All-Star All-Out Attack!"", was a series of outtakes from the preceding episodes and recaps of the first 21 episodes. The second part, ""The School Excursion! Run, Kunoichi!"", was an original episode, but not part of the ongoing series."
animeRelated	['Urusei Yatsura']
animeCharacters	['Lum', 'Moroboshi, Ataru', 'Mendo, Shutaro', 'Miyake, Shinobu', 'Ran', 'Sakuranbou', 'Satoshi', 'Sakura', 'Ten', 'Moroboshi, Mother']
animeVoices	['Hirano, Fumi', 'Furukawa, Toshio', 'Kamiya, Akira', 'Shimazu, Saeko', 'Inoue, You', 'Nagai, Ichiro', 'Chiba, Shigeru', 'Washio, Machiko', 'Sugiyama, Kazuko', 'Sakuma, Natsumi']
animeStaff	[['Takahashi, Rumiko', 'Original Creator']]
