animeTitle	Shoujo kara Shoujo e...
animeType	OVA
animeNumEpisode	2
releaseDate	2016-02-12 00:00:00
endDate	2016-03-11 00:00:00
animeNumMembers	
animeScore	6.93
animeUsers	2255
animeRank	
animePopularity	6193
animeDescription	Based on the erotic manga by Shiomaneki. 
animeRelated	['Shoujo kara Shoujo e...']
animeCharacters	['Obata, Mia', 'Amamiya', 'Shirai, Asumi', 'Yuuki']
animeVoices	[]
animeStaff	[['Shiomaneki', 'Original Creator'], ['Hayakawa, Naomi', 'Character Design']]
