animeTitle	Kemono Friends 2
animeType	TV
animeNumEpisode	12
releaseDate	2019-01-15 00:00:00
endDate	2019-04-02 00:00:00
animeNumMembers	
animeScore	5.86
animeUsers	4796
animeRank	
animePopularity	4505
animeDescription	"Serval and Caracal find a ""human"" child in the forest. As they travel with the child, they meet new Friends, uncover the secrets of Japari Park, and become involved in an event that will ""shake the earth.""

(Source: ANN)
"
animeRelated	['Kemono Friends 2', 'Kemono Friends']
animeCharacters	['Serval', 'Lucky Beast', 'Kyururu', 'Caracal', 'Kaban', 'Hashibirokou', 'Araiguma', 'Tairikuookami', 'Fennec', 'Kitakitsune']
animeVoices	['Ozaki, Yuka', 'Uchida, Aya', 'Ishikawa, Yui', 'Koike, Riko', 'Ono, Saki', 'Motomiya, Kana']
animeStaff	[['Numata, Shinnosuke', 'Producer'], ['Kimura, Ryuuichi', 'Director'], ['Abe, Nobuyuki', 'Sound Director'], ['Aiba, Aina', 'Theme Song Performance']]
