animeTitle	Sekkou Boys
animeType	TV
animeNumEpisode	12
releaseDate	2016-01-08 00:00:00
endDate	2016-03-25 00:00:00
animeNumMembers	
animeScore	6.27
animeUsers	19269
animeRank	
animePopularity	2538
animeDescription	"As luck would have it, on her first day at Holbein Entertainment Co., Miki Ishimoto is tasked with managing a brand new idol group! A recent college graduate, Ishimoto is eager to begin her career in the industry. However, her department's responsibility is...statues?!

The statues in question are the Sekkou Boys, or ""The Rockies,"" a boy band comprised of four Greco-Roman sculptures: St. George, Mars, Hermes, and Medici. These four busts are new to the entertainment scene, and it is up to Miki to ensure the Rockies' prosperity in the idol world. But will they be a stone-cold success? Or will Miki's management prove to be a rocky start to stardom?

[Written by MAL Rewrite]"
animeRelated	['Sekkou Boys: Kamigami to Eiyuu no Idol Group']
animeCharacters	['Saint George', 'Mars', 'Medici', 'Hermes', 'Ishimoto, Miki', 'Hanayashiki, Mira', 'Dionysus', 'Molière', 'Salaryman', 'Shikai, Ana']
animeVoices	['Sugita, Tomokazu', 'Ono, Daisuke', 'Tachibana, Shinnosuke', 'Fukuyama, Jun', 'Kokido, Shiho', 'Makino, Yui', 'Kimura, Subaru', 'Koyasu, Takehito', 'Miyashita, Eiji', 'Tazawa, Masumi']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Shiba, Hirokazu', 'Producer'], ['Takuno, Seiki', 'Director, Episode Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director']]
