animeTitle	Akage no Anne Specials
animeType	Special
animeNumEpisode	2
releaseDate	2001-02-11 00:00:00
endDate	2001-01-01 00:00:00
animeNumMembers	974
animeScore	6.13
animeUsers	230
animeRank	8025
animePopularity	11204
animeDescription	"A summary of the Akage no Anne full series aired as a TV specials.

Anne is an orphan full of imagination. When she arrives at her new home she learns that sometimes you have to be a sensible person too; at the same time her unique character changes, or at least attracts, the people around her. The story covers Anne's growth from about eleven to seventeen years old as she makes friends, goes to school and studies. At a difficult point in her life, Anne will have to make a hard choice and perhaps find a new dream.

(Source: AniDB)"
animeRelated	['Akage no Anne']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
