animeTitle	Manabu no Natsuyasumi
animeType	OVA
animeNumEpisode	1
releaseDate	2005-01-01 00:00:00
endDate	
animeNumMembers	219
animeScore	
animeUsers	
animeRank	17173
animePopularity	15766
animeDescription	"Released by JCI (Junior Chamber International) Japan to promote self awareness and appreciation of ""Japan's soul"".

Manubu's mother leaves him with his uncle, grandmother and niece Kiyomi to spend his summer vacation.
Him being a real city brat he has no real appreciation for nature and the outdoors and the values of life. He will soon learn differently...

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
