animeTitle	Taeko no Nichijou
animeType	TV
animeNumEpisode	26
releaseDate	2019-10-06 00:00:00
endDate	2020-03-29 00:00:00
animeNumMembers	438
animeScore	
animeUsers	
animeRank	13650
animePopularity	13311
animeDescription	"A short anime about Taeko Shinbou who is an office worker that is patient with everything and greets everything that comes her way with cheer. An announcement was made that a ""regular person"" from Kantou will voice Taeko rather than an industry professional.

(Source: ANN)"
animeRelated	['Taeko no Nichijou 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
