animeTitle	Swimming
animeType	Movie
animeNumEpisode	1
releaseDate	2008-01-01 00:00:00
endDate	
animeNumMembers	319
animeScore	5.38
animeUsers	145
animeRank	10731
animePopularity	14337
animeDescription	"The short animation evokes all the awkwardness of a school swimming class. A chubby young boy, steps up reluctantly for his turn, after watching the sporty prowess of his peers.

(source: Official website)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
