animeTitle	Sora no Manimani
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	15724
animeRank	
animePopularity	2807
animeDescription	Saku Ooyagi returns to his hometown after seven years and is soon reacquainted with his childhood friend, Mihoshi Akeno. The reunion is far from merry since the last memory they have of each other is of her falling off a tree and him saving her. In any case, Mihoshi is determined to improve their relationship and forces Saku to join the astronomy club she founded.
animeRelated	['Sora no Manimani', 'Sora no Manimani Specials']
animeCharacters	['Akeno, Mihoshi', 'Roma, Takeyasu', 'Makita, Hime', 'Edogawa, Masashi', 'Yarai, Sayo', 'Ooyagi, Saku', 'Oumi, Ayumi', 'Kotozuka, Fumie', 'Souma, Nozomu', 'Emiri']
animeVoices	['Itou, Kanae', 'Majima, Junji', 'Tomatsu, Haruka', 'Takagi, Reiko', 'Hayami, Saori', 'Maeno, Tomoaki', 'Sawashiro, Miyuki', 'Koshimizu, Ami', 'Matsukaze, Masaya', 'Kotobuki, Minako']
animeStaff	[['Takamatsu, Shinji', 'Director, Script, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Tsuda, Naokatsu', 'Episode Director'], ['Yoshimura, Ai', 'Episode Director, Storyboard']]
