animeTitle	Mousou Kagaku Series: Wandaba Style
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	913
animeRank	
animePopularity	8248
animeDescription	"Genius scientist Tsukumo Susumu knows each and every single theory behind aerodynamics that exists on earth despite being only 13 years old. He wants to travel to the moon without the use of fossil fuels that power rockets. So begins his heavy research using his knowledge in the laws of physics, scientific theory and his wild imagination.

His test subjects are the unpopular idol group Mix JUICE (Himawari, Yuri, Ayame, Sakura). They come up with all sorts of crazy ideas to become the first humans to successfully hold a concert on the face of the moon. Will the four girls from Mix JUICE be able to struggle their way to the moon successfully?

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Haruno, Sakura', 'Fuyude, Yuri', 'Tsukumo, Susumu', 'Natsuwa, Himawari', 'Akimo, Ayame', 'Kiku 8', 'Hanagata, Michael']
animeVoices	['Morinaga, Rika', 'Ueda, Kana', 'Miyata, Kouki', 'Nakahara, Mai', 'Saitou, Chiwa', 'Shimizu, Ai', 'Chiba, Susumu']
animeStaff	[['Takahashi, Hideo', 'Sound Director'], ['Satou, Shouichi', 'Script'], ['Tanaka, Masayoshi', 'Key Animation, Animation Director'], ['Swasey, John', 'ADR Director']]
