animeTitle	Girlfriend (Kari)
animeType	TV
animeNumEpisode	12
releaseDate	2014-10-13 00:00:00
endDate	2014-12-29 00:00:00
animeNumMembers	39410
animeScore	5.93
animeUsers	10113
animeRank	8947
animePopularity	2836
animeDescription	"A TV anime adaptation of the Girlfriend (Kari) a mobile game where players can have girlfriends through playing the game. 

Shiina Kokomi is a hard working but even tempered high school girl who is the lead performer in her school's rhythmic gymnastics club. The story follows her and her growing circle of friends as they support each other through the various trials and situations that comprise high school life.

(Source: ANN)"
animeRelated	"['Girlfriend (Kari): Chloe Lemaire-hen - Chloe to Nihon to Mirai no Tobira', 'Girlfriend (Kari): Shiina Kokomi-hen - Koishite Madonna', 'Girlfriend (Kari): Sakurai Akane-hen - Kokoro wo Komete, Yuuki no On Air!', 'Girlfriend (Kari): Murakami Fumio-hen - Secret Smile', ""Girlfriend (Kari): Seiou Gakuen Girl's Diary"", 'Girlfriend (Kari): Dengeki Comic Anthology', 'Girlfriend (Note)']"
animeCharacters	['Lemaire, Chloe', 'Murakami, Fumio', 'Shiina, Kokomi', 'Mochizuki, Erena', 'Sakurai, Akane', 'Miss Monochrome', 'Asahina, Momoko', 'Yumesaki, Haruko', 'Shinonome, Rei', 'Kagami, Matsuri']
animeVoices	['Tange, Sakura', 'Nazuka, Kaori', 'Satou, Satomi', 'Harada, Hitomi', 'Satou, Rina', 'Horie, Yui', 'Ogura, Yui', 'Kayano, Ai', 'Kitamura, Eri', 'Kugimiya, Rie']
animeStaff	[['Hosoya, Nobuyuki', 'Producer'], ['Maru, Ryoji', 'Producer'], ['Hayashi, Naotaka', 'Director'], ['Yamada, Haru', 'Sound Director']]
