animeTitle	b'Captain Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The movie focuses on a game between Sumiya 2 and Aoba Gakuin. '
animeRelated	[b'Captain (TV)']
animeCharacters	[b'Marui', b'Igarashi', b'Taniguchi, Takao', b'Takagi', b'Koyama', b'Matsushita']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nDezaki, Satoshi\n\nDirector\n\n', b'\nChiba, Akio\n\nOriginal Creator\n\n', b'\nKiyoyama, Shigetaka\n\nCharacter Design\n\n', b'\nShimizu, Keizou\n\nAnimation Director\n\n']
