animeTitle	Narue no Sekai
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	6611
animeRank	
animePopularity	4278
animeDescription	"Meet Narue, an adorable schoolgirl with a secret. She's really an alien with powers right out of a sci-fi comic! But growing up is never easy, and sometimes it doesn't help when you're from outer space. Join our spunky heroine as she faces androids, alien invaders, and her first date with the boy next door. It's the sci-fi comedy that's a direct hit to your heart!

(Source: Central Park Media)"
animeRelated	['Narue no Sekai']
animeCharacters	['Nanase, Narue', 'Iizuka, Kazuto', 'Yagi, Hajime', 'Nanase, Kanaka', 'Otonashi, Rei', 'Bathyscaphe', 'Asakura, Rin', 'Tendo, Ran', 'Nanase, Tadashi', 'Maruo, Masaki']
animeVoices	['Noto, Mamiko', 'Sakaguchi, Daisuke', 'Chiba, Saeko', 'Minagawa, Junko', 'Kuwatani, Natsuko', 'Kosuge, Mami', 'Ichimura, Oma', 'Kawakami, Tomoko', 'Sugawara, Junichi', 'Fukuyama, Jun']
animeStaff	[['Ashida, Toyoo', 'Director, Key Animation'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Chiba, Saeko', 'Theme Song Performance'], ['CooRie', 'Theme Song Performance']]
