animeTitle	Saru Kani Gassen
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	368
animeScore	5.25
animeUsers	151
animeRank	11007
animePopularity	13887
animeDescription	A monkey tricks a crab and steals his food. Aired around 1920.
animeRelated	['Nihon Mukashibanashi: Saru Kani', 'Saru to Kani no Gassen', 'Saru Kani Gassen: Ijimekkozaru to Shoujiki Kani-san', 'Shin Saru Kani Gassen', 'Saru Kani Gassen (1927)']
animeCharacters	['Kani', 'Saru']
animeVoices	[]
animeStaff	[['Chuuzou, Aochi', 'Screenplay']]
