animeTitle	b'Nayuta'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	516
animeRank	
animePopularity	
animeDescription	b'Scifi tale of a young girl who acquires ESP powers. \n\nBased on the manga by Sasaki Junko, published in three volumes by Shougakukan under the Flower Comics label.'
animeRelated	[b'Nayuta']
animeCharacters	[b'Kiro', b'Nayuta']
animeVoices	[b'\nKamiya, Akira\nJapanese\n', b'\nFujishiro, Minako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHata, Masami\n\nDirector\n\n', b'\nMatsuura, Noriyoshi\n\nSound Director\n\n', b'\nKisugi, Takao\n\nTheme Song Composition\n\n', b'\nSugino, Akio\n\nAnimation Director, Character Design\n\n']
