animeTitle	Slide
animeType	ONA
animeNumEpisode	1
releaseDate	2017-07-10 00:00:00
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	131
animeRank	
animePopularity	14704
animeDescription	Based on the figure skater Mao Asada. On July 10th, Tekken posted the full version of the video on his official YouTube channel. The story took 2,890 hand drawn sheets. Tekken originally made a short version back in 2015 but when Mao Asada announced her retirement on April 10, 2017--he decided to expand upon it by creating 5 minutes worth of additional content.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
