animeTitle	Overlord Movie: Ple Ple Pleiades
animeType	Movie
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	6545
animeRank	
animePopularity	4315
animeDescription	Initially aired in theaters. Later released as specials bundled with the Blu-ray and DVD volumes of Overlord Movies 1 and 2.
animeRelated	['Overlord', 'Overlord: Ple Ple Pleiades', 'Overlord Movie 1: Fushisha no Ou', 'Overlord Movie 2: Shikkoku no Eiyuu']
animeCharacters	"['Momonga', ""Pandora's Actor"", 'Hamusuke', 'Albedo', 'Gamma, Narberal', 'Zeta, Entoma Vasilissa', 'Shizu Delta', 'Beta, Lupusregina', 'Epsilon, Solution', 'Alpha, Yuri']"
animeVoices	['Hino, Satoshi', 'Miyano, Mamoru', 'Watanabe, Akeno', 'Hara, Yumi', 'Numakura, Manami', 'Shindou, Kei', 'Seto, Asami', 'Komatsu, Mikako', 'Sakura, Ayane', 'Igarashi, Hiromi']
animeStaff	[]
