animeTitle	Sei Shoujo Sentai Lakers EX
animeType	OVA
animeNumEpisode	1
releaseDate	1996-05-21 00:00:00
endDate	
animeNumMembers	
animeScore	4.89
animeUsers	435
animeRank	
animePopularity	10415
animeDescription	"A group of alien girls from planet Blade Star come to earth after their home planet got destroyed. They all have powerful Super-Lake Crystals that allow them to transform into superheroines. led by Blade Knight, they must fight Oleana, an evil space dominatrix, their toughest enemy.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Akira', 'Yayoi', 'Reiko', 'Yuka', 'Natsune', 'Chiaki']
animeVoices	['Morikawa, Toshiyuki', 'Oikawa, Hitomi', 'Asami, Junko', 'Kanai, Mika', 'Koorogi, Satomi', 'Katsuki, Masako']
animeStaff	[['Tsuruoka, Youta', 'Sound Director'], ['Pikabia', 'Theme Song Performance'], ['Koyama, Kenji', 'Sound Effects'], ['Nishiyama, Masanori', 'Background Art']]
