animeTitle	Jokutsuma
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	718
animeRank	
animePopularity	9084
animeDescription	"Based on game by Love juice.

[STORY]

The intimidating Shigeki Kagami runs a loan company. Because he'll do anything to collect his money, he strikes fear in the hearts of creditors everywhere. Sometimes, he will accept sex with creditor's wives as payment if they can't pay up in a timely manner. Once these hapless women are in his possession, fear is replaced by lust and the humiliated wives soon become his sex slaves. "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
