animeTitle	b'Okawari-Boy Starzan-S'
animeType	b'TV'
animeNumEpisode	34
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'On planet Kirakira live two tribes: Senobi and Robot. Senobi, quiet and peacefully set, settle down in the forest. Robot comes from the desert and starts war to take control of afforested grounds. A young hero coming from Senobi tries to appease the whole situation.'
animeRelated	[]
animeCharacters	[b'Starzan-S']
animeVoices	[b'\nInoue, Kazuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKojima, Masayuki\n\nEpisode Director, Storyboard\n\n', b'\nHiguchi, Masakazu\n\nEpisode Director, Storyboard\n\n', b'\nKogawa, Yoriyasu\n\nEpisode Director, Storyboard\n\n', b'\nKoyama, Takao\n\nScript, Series Composition\n\n']
