animeTitle	b'Shinmai Maou no Testament Burst'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	178367
animeRank	
animePopularity	
animeDescription	"b""Basara Toujou has a hard life. He is the older step-brother to two demonic sisters, Mio and Maria Naruse, whom he protects from entitled demons looking to claim Mio's power for themselves. On top of that, rising political tension within the demon realm only makes his job more difficult.\n\nWhen a messenger arrives with summons for Mio to the demon realm, she and her friends go in spite of the danger. Now on the enemy's turf, Basara will have to grow stronger through erotic pleasure in order to do the impossible and protect everyone.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Shinmai Maou no Testament', b'Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou', b'Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou', b'Shinmai Maou no Testament Burst Specials']
animeCharacters	[b'Naruse, Mio', b'Toujou, Basara', b'Naruse, Maria', b'Nonaka, Yuki', b'Nonaka, Kurumi', b'Hasegawa, Chisato', b'Zest', b'Takigawa, Yahiro', b'Toujou, Jin', b'Shella']
animeVoices	[b'\nAsai, Ayaka\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nFukuhara, Kaori\nJapanese\n', b'\nBridcutt, Sarah Emi\nJapanese\n', b'\nNomizu, Iori\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n', b'\nYoshida, Seiko\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nNishihara, Kumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSaitou, Hisashi\n\nDirector\n\n', b'\nTakahashi, Tsuyoshi\n\nSound Director\n\n', b'\nAndou, Takashi\n\nEpisode Director\n\n', b'\nYoshioka, Takao\n\nScript\n\n']
