animeTitle	Miyakawa-ke no Kuufuku
animeType	ONA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	10441
animeRank	
animePopularity	3833
animeDescription	A spin-off of Lucky Star. Centers around big sister Hinata Miyakawa and little sister Hikage Miyakawa's impoverished daily life at home (due to Hinata's wasteful habits) and Hikage's life at elementary school.
animeRelated	['Miyakawa-ke no Kuufuku', 'Lucky☆Star']
animeCharacters	['Miyakawa, Hikage', 'Miyakawa, Hinata', 'Izumi, Konata', 'Hiiragi, Kagami', 'Hiiragi, Tsukasa', 'Kogami, Akira', 'Anizawa, Meito', 'Mizushima, Daisuke', 'Koizumi, Marina', 'Oosawa, Kazuhiko']
animeVoices	['Kawasaki, Makoto', 'Shimagata, Maina', 'Hirano, Aya', 'Katou, Emiri', 'Fukuhara, Kaori', 'Konno, Hiromi', 'Seki, Tomokazu', 'Oda, Karin', 'Yamada, Natsumi', 'Matsuoka, Yoshitsugu']
animeStaff	[['Yamamoto, Yutaka', 'Director, Episode Director, Storyboard'], ['Aritomi, Kouji', 'Episode Director'], ['Hirano, Aya', 'Theme Song Performance'], ['Katou, Emiri', 'Theme Song Performance']]
