animeTitle	Uchi no Oochopus
animeType	TV
animeNumEpisode	38
releaseDate	2018-01-09 00:00:00
endDate	2018-09-25 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15867
animeDescription	"The main character is the mysterious lifeform Oochopus. In the series, the Oochopus appears at the house of five-year-old Kantarou and three-year-old An-chan. Kantarou and An-chan accept the cute but somewhat irresponsible Oochopus as family.

(Source: ANN)"
animeRelated	[]
animeCharacters	['An-chan', 'Kantarou', 'Oochopus', 'Yansu', 'Oppekepee', 'Yukiotoko', 'Aniki', 'Tonarin Chino Oba-chan', 'Papa', 'Tonarin Chino Oji-chan']
animeVoices	['Asumi, Kana', 'Yamamoto, Kazutomi', 'Yuuki, Chisa', 'Yamaguchi, Kiyohiro', 'Shimura, Tomoyuki', 'Makihara, Chika', 'Takagi, Wataru', 'Echigoya, Kousuke']
animeStaff	[['Asai, Shingo', 'Storyboard']]
