animeTitle	Kite
animeType	Music
animeNumEpisode	1
releaseDate	2020-04-02 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16124
animeDescription	Music video for the song Kite by Japanese boy band Arashi in collaboration with Kenshi Yonezu that was featured on NHK's Minna no Uta program. The song was unveiled at the 70th NHK Kouhaku Uta Gassen and was chosen as the 2020 NHK Olympic Theme Song. A live performance of the song by Arashi was featured on the program starting February 2020. In April of the same year, the song was again broadcast, this time featuring animation from Kunio Katou.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
