animeTitle	Koitabi: True Tours Nanto
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	5982
animeRank	
animePopularity	4464
animeDescription	The short tells three love stories set in Nanto. 
animeRelated	[]
animeCharacters	['Ishikura, Natsuko', 'Aizawa, Chiaki', 'Yokokawa, Haruki', 'Shindou, Aoi', 'Sugawa, Youji', 'Nishi, Takumi', 'Hishida, Shiori', 'Shindou, Mother', 'Yokokawa, Father']
animeVoices	['Iguchi, Yuka', 'Nazuka, Kaori', 'Yoshino, Hiroyuki', 'Takagaki, Ayahi', 'Masuda, Yuuki', 'Ishii, Makoto', 'Watanabe, Tomomi', 'Takahashi, Rieko', 'Tachiki, Fumihiko']
animeStaff	[['Nishimura, Junji', 'Director, Script'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Okada, Mari', 'Script'], ['eufonius', 'Theme Song Performance']]
