animeTitle	b'Jewelpet Magical Change'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	417
animeRank	
animePopularity	
animeDescription	"b""The story follows the adventures of rabbit-shaped Jewelpet Ruby, her long-best human friend Airi Kirara and the other Jewelpets on their mission to restore the Jewel Castle, which had fallen from the skies into the middle of the town because of humanity's lack of faith in magic. To restore people's belief in magic, Jewelpets transform into humans to study more about them.\n\n(Source: ANN, edited)"""
animeRelated	[b'Jewelpet', b'Jewelpet Twinkle\xe2\x98\x86', b'Jewelpet Sunshine', b'Jewelpet Kira\xe2\x98\x86Deco!', b'Jewelpet Happiness', b'Lady Jewelpet', b'Jewelpet: Attack Chance!?']
animeCharacters	[b'Ruby', b'Labra', b'Kirara, Airi', b'Larimer', b'Luna', b'Sapphie', b'Garnet', b'Angela', b'Luea', b'Sango']
animeVoices	[b'\nSaitou, Ayaka\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nOzawa, Ari\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n', b'\nmisono\nJapanese\n', b'\nSasaki, Nozomi\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n', b'\nShimizu, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKondou, Nobuhiro\n\nDirector\n\n', b'\nYamamoto, Kouji\n\nSound Director\n\n', b'\nHyakkoku, Hajime\n\nMusic\n\n', b'\nYokotani, Masahiro\n\nSeries Composition\n\n']
