animeTitle	InuYasha Movie 4: Guren no Houraijima
animeType	Movie
animeNumEpisode	1
releaseDate	2004-12-23 00:00:00
endDate	
animeNumMembers	
animeScore	7.54
animeUsers	44218
animeRank	
animePopularity	1856
animeDescription	"The mysterious island of Houraijima has reappeared after 50 years, and with its reappearance has brought the attack of four gods, the Shitoushin, who have their eyes set on the powers that protect and sustain the island. Now it's up to Inuyasha and his friends, along with Sesshoumaru, to find a way to defeat the powerful Shitoushin. 

(Source: ANN) 
"
animeRelated	['InuYasha']
animeCharacters	['Inuyasha', 'Higurashi, Kagome', 'Sesshoumaru', 'Sango', 'Kikyou', 'Miroku', 'Shippou', 'Rin', 'Kirara', 'Jaken']
animeVoices	['Yamaguchi, Kappei', 'Yukino, Satsuki', 'Narita, Ken', 'Kuwashima, Houko', 'Hidaka, Noriko', 'Tsujitani, Kouji', 'Watanabe, Kumiko', 'Noto, Mamiko', 'Cho']
animeStaff	[['Ueda, Masuo', 'Producer, Planning'], ['Shinohara, Toshiya', 'Director'], ['Ogura, Hirofumi', 'Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director']]
