animeTitle	Hangyakusei Million Arthur
animeType	TV
animeNumEpisode	10
releaseDate	2018-10-25 00:00:00
endDate	2018-12-27 00:00:00
animeNumMembers	
animeScore	6.05
animeUsers	5461
animeRank	
animePopularity	3290
animeDescription	"Tales of old speak of the legends of Excalibur, a sacred sword. The sword is wielded by those who are worthy of its power, bestowing them extraordinary strength and granting them the title of Arthur. However, a divine miracle results in the creation of multiple Excaliburs, thus distorting the fabric of time.

Aiming to revert time to its original course, a group of six Arthurs composed of Danchou, Renkin, Kakka, Yamaneko, Tekken, and Rurou are sent back in time when the abnormal Excaliburs were spawned. They are assigned with one sole task: to destroy the Excaliburs of the past—all of which total up to one million.

[Written by MAL Rewrite]
"
animeRelated	['Jakusansei Million Arthur', 'Koukyousei Million Arthur', 'Hangyakusei Million Arthur 2nd Season', 'Hangyakusei Million Arthur PV']
animeCharacters	['Danchou Arthur', 'Kakka Arthur', 'Renkin Arthur', 'Tekken Arthur', 'Yamaneko Arthur', 'Bodach', 'Rurou Arthur', 'Titania', 'Coupy', 'Bethor']
animeVoices	['Amamiya, Sora', 'Hanae, Natsuki', 'Minase, Inori', 'Kakihara, Tetsuya', 'Taketatsu, Ayana', 'Mimori, Suzuko', 'Nakamura, Yuuichi', 'Takahashi, Rie', 'Touyama, Nao', 'Hidaka, Rina']
animeStaff	[['Suzuki, Youhei', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Tamai, Tsuyoshi', 'Script, Series Composition'], ['Minakami, Seishi', 'Script']]
