animeTitle	b'Girly Air Force'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	23594
animeRank	
animePopularity	
animeDescription	"b'Kei Narutani and his childhood friend, Song Minghua, are Chinese refugees who are fleeing from the Zai, a mysterious organization that indiscriminately terrorizes their country and its people. Fortunately, during their escape to Japan, they are saved by a strange red aircraft.\n\nKei\'s fascination with this aircraft leads him to meet his savior: a girl who is an ""Anima""\xe2\x80\x94the pilot of a unique type of airplane called a ""Daughter."" The girl goes by Gripen, an adorable JAS-39F fighter aircraft. Kei develops a bond with Gripen and is then recruited by the Japan Self-Defense Force to help Gripen overcome her troubles with flying.\n\nLater joined by Eagle, a carefree F-15J-ANM, and Phantom, a proud RF-4EJ-ANM, the squadron takes up arms, determined to protect humanity. Together, the five individuals battle against the invasive Zai, forming the last line of defense against the threatening alien force.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Girly Air Force']
animeCharacters	[b'Gripen', b'Narutani, Kei', b'Song, Minghua', b'Phantom', b'Eagle', b'Viper Zero', b'Rhino', b'Shankle, William']
animeVoices	[b'\nMorishima, Yuuka\nJapanese\n', b'\nOosaka, Ryouta\nJapanese\n', b'\nLynn\nJapanese\n', b'\nIzawa, Shiori\nJapanese\n', b'\nOowada, Hitomi\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOno, Katsumi\n\nDirector, Script, Storyboard\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nTakashima, Daisuke\n\nEpisode Director\n\n', b'\nSatou, Hidekazu\n\nEpisode Director\n\n']
