animeTitle	Litchi DE Hikari Club
animeType	TV
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	5.2
animeUsers	4724
animeRank	
animePopularity	5116
animeDescription	"Litchi DE Hikari Club takes place in an alternate reality where the Hikari Club does not fall into disarray after the completion of Litchi, the intelligent humanlike robot the club invented to kidnap girls.

The cult-like Hikari Club has had its ups and downs. Led by the enigmatic, beauty-obsessed Hiroyuki ""Zera"" Tsunekawa, the club has finally succeeded in using their fruit-powered robot, Litchi, to kidnap the beautiful Kanon. After accomplishing their goals, the Hikari Club has little to do other than delight in their newfound lives. From selling the technology that allows Litchi to run on lychee fruit, to modifying the robot to perform different tasks, there's no telling what antics the Hikari Club will get up to next!

[Written by MAL Rewrite]
"
animeRelated	['Litchi☆Hikari Club']
animeCharacters	['Ameya, Norimizu', 'Tsunekawa, Hiroyuki', 'Litchi', 'Tamiya, Hiroshi', 'Kanon', 'Ichihashi, Raizou', 'Kaneda, Riku', 'Ishikawa, Narutoshi', 'Suda, Takuzou', 'Hakuei']
animeVoices	['Tamaki, Yuki', 'Kimura, Ryou', 'Ore no Graffiti', 'Nakao, Akiyoshi', 'Honoka, Rin', 'Satou, Hisanori', 'Hirose, Daisuke', 'Hiranuma, Norihisa', 'Tomioka, Kouichirou', 'Hakuei']
animeStaff	[['Furuya, Usamaru', 'Original Creator']]
