animeTitle	b'Hula Fulla Dance'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Natsunagi Hiwa, a novice, jumps into the world of Hula Girl after her sister.\n\n(Source: MAL News)'
animeRelated	[b'Hula Fulla Dance']
animeCharacters	[b'Natsunagi, Hiwa', b'Kaaihue, Ohana', b'Shirosawa, Shion', b'Takigawa, Ranko', b'Kamakura, Kanna', b'Taira, Kazuto', b'Suzukake, Ryouta']
animeVoices	[b'\nFukuhara, Haruka\nJapanese\n', b'\nMaeda, Kaori\nJapanese\n', b'\nSuyama, Emiri\nJapanese\n', b'\nTomita, Miu\nJapanese\n', b'\nMiyama, Karen\nJapanese\n', b'\nYamada, Yuuki\nJapanese\n', b'\nFujioka, Dean\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMizushima, Seiji\n\nDirector\n\n', b'\nWatada, Shinya\n\nDirector\n\n', b'\nKimura, Eriko\n\nSound Director\n\n', b'\nOshima, Michiru\n\nMusic\n\n']
