animeTitle	Paniponi Dash!
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	18155
animeRank	
animePopularity	2342
animeDescription	"The 11-year-old Miyamoto Rebecca becomes the new teacher of a classroom which is full of weirdos. Despite her cute looks she's a little beast and can be pretty sarcastic and offensive. The school is not safe anymore now that she's in charge of a class and her students, Himeko, Ichijou, Rei and a white rabbit who took a liking to Rebecca help her to rough up the school and the neighbor with its teacher ""ojii-chan.""

(Source: ANN)"
animeRelated	['PaniPoni', 'Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku']
animeCharacters	['Ichijou', 'Miyamoto, Rebecca', 'Katagiri, Himeko', 'Tachibana, Rei', 'Momose, Kurumi', 'Suzuki, Sayaka', 'Uehara, Miyako', 'Mesousa', 'Nekogami-sama', 'Serizawa, Akane']
animeVoices	['Nonaka, Ai', 'Saitou, Chiwa', 'Orikasa, Fumiko', 'Yukino, Satsuki', 'Ueda, Kana', 'Sakata, Kayo', 'Horie, Yui', 'Yamazaki, Vanilla', 'Kamiya, Hiroshi', 'Sawashiro, Miyuki']
animeStaff	[['Oonuma, Shin', 'Co-Director'], ['Cook, Justin', 'Producer'], ['Kubota, Mitsutoshi', 'Producer'], ['Chung, Jin Ho', 'Producer']]
