animeTitle	Kasumin 2nd Season
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14477
animeDescription	 Second season of Kasumin
animeRelated	['Kasumin 3rd Season', 'Kasumin']
animeCharacters	['Haruno, Kasumi', 'Kasumi, Sakurame', 'Ryuunosuke']
animeVoices	[]
animeStaff	[['Yuasa, Masaaki', 'Setting'], ['Hongou, Mitsuru', 'Screenplay, Executive Producer'], ['Takahashi, Hideki', 'Animation Director, Chief Animation Director'], ['Suo, Yoshikazu', 'Music']]
