animeTitle	No Guns Life 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	22492
animeRank	
animePopularity	2147
animeDescription	Second half of No Guns Life.
animeRelated	['No Guns Life']
animeCharacters	['Inui, Juuzou', 'Steinberg, Mary', 'Arahabaki, Tetsurou', 'Pepper', 'Gosling, Scarlet', 'Tokisada, Mega-armed', 'Dismantler', 'Steinberg, Victor', 'Vandeberme, Olivier', 'von Wolf, Cronen']
animeVoices	['Suwabe, Junichi', 'Numakura, Manami', 'Yamashita, Daiki', 'Minase, Inori', 'Kouno, Marika', 'Okitsu, Kazuyuki', 'Hikasa, Youko', 'Uchida, Yuuya']
animeStaff	[['Itou, Naoyuki', 'Director'], ['Sawano, Hiroyuki', 'Theme Song Arrangement, Theme Song Performance, Theme Song Composition'], ['Iseki, Daichi', 'Director of Photography']]
