animeTitle	Gokukoku no Brynhildr: Kara Sawagi
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.6
animeUsers	20707
animeRank	
animePopularity	2840
animeDescription	Unaired episode 11.5 included with the second Blu-ray/DVD volume.
animeRelated	['Gokukoku no Brynhildr']
animeCharacters	['Kuroha, Neko', 'Schlierenzauer, Kazumi', 'Tachibana, Kana', 'Murakami, Ryouta', 'Takatori, Kotori', 'Wakabayashi, Hatsuna']
animeVoices	['Taneda, Risa', 'Ichimichi, Mao', 'Suzaki, Aya', 'Oosaka, Ryouta', 'Tadokoro, Azusa', 'Uchiyama, Yumi']
animeStaff	[['Imaizumi, Kenichi', 'Director'], ['Kitajima, Yukinori', 'Script, Series Composition'], ['Taneda, Risa', 'Theme Song Performance'], ['Ichimichi, Mao', 'Theme Song Performance']]
