animeTitle	Shinpi no Hou
animeType	Movie
animeNumEpisode	1
releaseDate	2012-10-06 00:00:00
endDate	
animeNumMembers	1747
animeScore	5.31
animeUsers	507
animeRank	10879
animePopularity	9803
animeDescription	"The film takes place in 201X, when the newly-formed Empire of Godom is threatening to take over the world by using mysterious technology offered to them by Chan Reika, the mysterious female president of a trading company. The protagonist of the film Shishimaru Shou is the one man who has the mystical technology that can stop the Empire of Godom, but after being hunted down by the Empire, he is saved by mysterious Indians, who tell him about a prophecy about the second coming of a savior. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Shishimaru, Shou', 'Tatha Gata Killer', 'Chan, Reika']
animeVoices	['Koyasu, Takehito', 'Hirakawa, Daisuke', 'Fujimura, Ayumi']
animeStaff	[['Imakake, Isamu', 'Director'], ['Suda, Masami', 'Chief Animation Director'], ['Ookawa, Ryuuhou', 'Executive Producer, Original Creator'], ['Maejima, Kenichi', 'Key Animation']]
