animeTitle	Kokekkou-san
animeType	TV
animeNumEpisode	26
releaseDate	2009-11-18 00:00:00
endDate	2010-05-19 00:00:00
animeNumMembers	158
animeScore	
animeUsers	
animeRank	16837
animePopularity	16817
animeDescription	"Full CG anime series based on artist Karoku-Kobo's series of Kokekko-san picture books. The story about the daily life of Kokekko-san, a motherly egg with chicken features that raises her chicks. Each episode is a 2-part story.

(Source: AniDB)"
animeRelated	['Ohayou! Kokekkou-san']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
