animeTitle	Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2018-08-24 00:00:00
endDate	
animeNumMembers	505
animeScore	
animeUsers	
animeRank	13887
animePopularity	12951
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV)', 'Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA)']
animeCharacters	['Ishino, Mikoto', 'Ishino, Jin', 'Yagura, Taiga', 'Kurumada, Gou', 'Yusuke', 'Saionji, Takahito', 'Isurugi, Hayato', 'Shinmon, Megumi', 'Izawa, Toshimichi', 'Kurumada, Jou']
animeVoices	[]
animeStaff	[['Kojima, Chika', 'Animation Director, Key Animation'], ['Okada, Maiko', 'Animation Director'], ['Araki, Kenichi', 'Screenplay']]
