animeTitle	Dochamon Junior
animeType	TV
animeNumEpisode	16
releaseDate	2015-10-05 00:00:00
endDate	2016-02-22 00:00:00
animeNumMembers	248
animeScore	
animeUsers	
animeRank	15431
animePopularity	15276
animeDescription	Japan has 47 prefectures and each one has a guardian spirit called a Dochamon. Dochamon Junior follows guardian spirits in training to one day take over the jobs of their elders. But these juniors have a lot of growing up to do before they graduate!
animeRelated	['Dochamon Junior 2']
animeCharacters	['Chuchuri', 'Shiro', 'Papippuru', 'Yaeko', 'Denira', 'Octowing']
animeVoices	['Yuzuki, Ryouka', 'Shimowada, Hiroki', 'Narita, Sayaka', 'Sasaki, Hinako', 'Fukumatsu, Shinya', 'Suganuma, Hisayoshi']
animeStaff	[['Oyama, Kei', 'Director'], ['Tanabe, Shigenori', 'Script'], ['Yuzuki, Ryouka', 'Theme Song Performance'], ['Oomori, Shouko', 'Theme Song Lyrics']]
