animeTitle	Makoto-chan
animeType	Movie
animeNumEpisode	1
releaseDate	1980-07-26 00:00:00
endDate	
animeNumMembers	607
animeScore	5.41
animeUsers	147
animeRank	10645
animePopularity	12458
animeDescription	"Follows the odd life of kindergartener Makoto Sawada and his family. Makoto gets into all sorts of toilet and adult humor. He sometimes dresses in his mother's and sister's clothing, and often has a long strand of mucus dangling from his nose.

(Source: Wikipedia)"
animeRelated	['Makoto-chan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
