animeTitle	Rinshi!! Ekoda-chan
animeType	TV
animeNumEpisode	11
releaseDate	2019-01-09 00:00:00
endDate	2019-03-27 00:00:00
animeNumMembers	9594
animeScore	5.53
animeUsers	2677
animeRank	10287
animePopularity	5399
animeDescription	"Rinshi!! Ekoda-chan is a fun and dark a 4-koma manga about the real (?) life of the author, a single woman in Tokyo who drifts through relationships and works at various hostess clubs and the like. Lots of commentary on ""birds of prey"" (moukin), girls who use their cuteness and affect stupidity in order to try to score men (against whom the author is constantly fighting).

(Source: Zigguratbuilder)"
animeRelated	['Rinshi!! Ekoda-chan', 'Genki!! Ekoda-chan']
animeCharacters	['Ekoda-chan']
animeVoices	['Ishida, Haruka']
animeStaff	[['Morimoto, Kouji', 'Director'], ['Nagahama, Hiroshi', 'Director'], ['Kojima, Masayuki', 'Director'], ['Takahashi, Ryousuke', 'Director']]
