animeTitle	Pakkororin
animeType	TV
animeNumEpisode	Unknown
releaseDate	2011-03-28 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16682
animeDescription	A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
