animeTitle	b'Buta Himesama'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	2284
animeRank	
animePopularity	
animeDescription	b'A Queen is turned into being a sex slave for her new King.'
animeRelated	[]
animeCharacters	[b'Illena']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nNagai, Shinpei\n\nDirector\n\n', b'\nOrc Soft\n\nOriginal Creator\n\n', b'\nKatahira, Shinji\n\nArt Director\n\n', b'\nSugibayashi, Yurika\n\nColor Design\n\n']
