animeTitle	Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken
animeType	Special
animeNumEpisode	1
releaseDate	1997-04-27 00:00:00
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	412
animeRank	
animePopularity	10498
animeDescription	"A one-hour special that aired after a month of the series' absence on television between episodes 23 and 24.

Kindaichi will have to investigate in a hospital where series of murder happen."
animeRelated	['Kindaichi Shounen no Jikenbo']
animeCharacters	['Kindaichi, Hajime', 'Nanase, Miyuki', 'Kenmochi, Isamu', 'Akechi, Kengo', 'Yukimuro, Yuuichi', 'Mizushima, Taki', 'Takazawa, Kazuko', 'Kine, Junya', 'Kiyomasa, Tomoaki', 'Daigo, Maki']
animeVoices	['Matsuno, Taiki', 'Nakagawa, Akiko', 'Kosugi, Juurouta', 'Morikawa, Toshiyuki', 'Ikeda, Shuuichi', 'Uemura, Noriko', 'Igarashi, Rei', 'Futamata, Issei', 'Nakamura, Hidetoshi', 'Dodo, Asako']
animeStaff	[['Laputa', 'Theme Song Performance'], ['Suzuki, Sarina', 'Theme Song Performance'], ['Kibayashi, Shin', 'Original Creator'], ['Satou, Fumiya', 'Original Character Design']]
