animeTitle	Mob Psycho 100 III
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	87614
animeScore	
animeUsers	
animeRank	
animePopularity	19124
animeDescription	Third season of Mob Psycho 100.
animeRelated	['Mob Psycho 100', 'Mob Psycho 100 II']
animeCharacters	['Reigen, Arataka', 'Kageyama, Shigeo', 'Ekubo', 'Hanazawa, Teruki', 'Kageyama, Ritsu']
animeVoices	['Sakurai, Takahiro', 'Itou, Setsuo', 'Ootsuka, Akio', 'Matsuoka, Yoshitsugu', 'Irino, Miyu']
animeStaff	[['Tachikawa, Yuzuru', 'Director'], ['Hasui, Takahiro', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['ONE', 'Original Creator']]
