animeTitle	b'Jujutsu Kaisen (TV)'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	8.73
animeUsers	889441
animeRank	
animePopularity	
animeDescription	"b'Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses\xe2\x80\x94dreadful beings formed from human malice and negativity\xe2\x80\x94after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the ""King of Curses.""\n\nYuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Metropolitan Jujutsu Technical High School, he begins to walk down a path from which he cannot return\xe2\x80\x94the path of a Jujutsu sorcerer.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Jujutsu Kaisen', b'Kaikai Kitan', b'Jujutsu Kaisen 0 Movie']
animeCharacters	[b'Gojou, Satoru', b'Itadori, Yuuji', b'Kugisaki, Nobara', b'Fushiguro, Megumi', b'Ryoumen, Sukuna', b'Inumaki, Toge', b'Nanami, Kento', b'Zenin, Maki', b'Toudou, Aoi', b'Panda']
animeVoices	[b'\nNakamura, Yuuichi\nJapanese\n', b'\nEnoki, Junya\nJapanese\n', b'\nSeto, Asami\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nKimura, Subaru\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSeshita, Keisuke\n\nProducer\n\n', b'\nPark, Seong-Hu\n\nDirector, Episode Director, Key Animation\n\n', b'\nFujita, Akiko\n\nSound Director\n\n', b'\nUmemoto, Yui\n\nEpisode Director, Assistant Director\n\n']
