animeTitle	b'DinoZone'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.56
animeUsers	398
animeRank	
animePopularity	
animeDescription	"b""It is explained in the story that it has been 1,000,000 years since the Dino Knights had last defeated the Dragozaurs. The Dragozaurs have returned, a boy named Kaito has reawakened them. The battle between the Dino Knights and the Dragozaurs begins once again as the Dino Knights prevent the Dragozaurs from stealing Earth's life force.\n\n(Source: Wikipedia)"""
animeRelated	[]
animeCharacters	[b'Dragon, Gigano', b'Tricera, Dino', b'Tatsuno, Kaito', b'Stego, Dino', b'Saber, Dino', b'Toro, Dino', b'Centro, Dino', b'Ptera, Dino', b'Mammoth, Dino', b'Rick']
animeVoices	[b'\nNishimura, Tomomichi\nJapanese\n', b'\nOnishi, Takeharu\nJapanese\n', b'\nAida, Sayaka\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nShiga, Katsuya\nJapanese\n', b'\nFukushima, Jun\nJapanese\n', b'\nIshikawa, Hideo\nJapanese\n', b'\nNagasako, Takashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAmino, Tetsuro\n\nDirector\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nYatate, Hajime\n\nOriginal Creator\n\n', b'\nOokawara, Kunio\n\nCharacter Design\n\n']
