animeTitle	Tsuma no Haha Sayuri
animeType	OVA
animeNumEpisode	2
releaseDate	2011-10-21 00:00:00
endDate	2012-02-17 00:00:00
animeNumMembers	5182
animeScore	6.51
animeUsers	1893
animeRank	
animePopularity	6908
animeDescription	"The main character is a white-collar worker. He has a wife, but she runs away from home. When he is at a loss what to do, Sayuri, his wife's mother, reaches out for him, ""I'll replace her... Please..."" As he lives with her, he gradually falls in love with her, and so does she...

(Source: VNDB)"
animeRelated	[]
animeCharacters	['Isokawa, Sayuri', 'Nikaidou, Fujino', 'Asahina, Shizue', 'Kusakabe, Akihito', 'Akane']
animeVoices	['Honma, Yukari']
animeStaff	[['Tsubone, Kentarou', 'Editing']]
