animeTitle	Detective Conan: Anti-Crime Guide
animeType	OVA
animeNumEpisode	1
releaseDate	2006-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	364
animeRank	
animePopularity	9475
animeDescription	A Meitantei Conan education anime aimed at children. It's an anti-crime guide that teaches children how they should react in different scenarios through a question-answer format. An accompanying book was also created to compliment the anime.
animeRelated	['Detective Conan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
